Li,Ni,Co,Mn,M,LC_a,LC_c,CV,CD,V_min,V_max,Mr_dopant,Mr,no_electron_M,EN_M,No_iso_dopant,E_ion_dopant,EA_dopant,AR_dopant,IR_dopant,IC,EC
1.2,0.13,0.13,0.52,0.02,2.8534,14.2377,100.391,22.5,2,4.8,26.98,84.19,13,1.61,8,578,0.432,118,125,226.65,156.5
1,0.79,0.1,0.1,0.01,2.8709,14.2005,101.361,200,2.8,4.3,138.91,96.69,57,1.1,19,538,0.557,195,195,189.46,173.97
1,0.77,0.1,0.1,0.03,2.8712,14.2013,101.388,200,2.8,4.3,138.91,95.52,57,1.1,19,538,0.557,195,195,172.54,170.47
1,0.59,0.2,0.2,0.01,2.8695,14.2223,101.418,160,2.8,4.3,24.31,96.34,12,1.31,8,738,-0.4,145,150,177.07,162.22
1,0.57,0.2,0.2,0.03,2.87,14.2244,101.468,160,2.8,4.3,24.31,95.17,12,1.31,8,738,-0.4,145,150,174.7,155.55
1,0.55,0.2,0.2,0.05,2.8673,14.2248,101.28,160,2.8,4.3,24.31,94,12,1.31,8,738,-0.4,145,150,174.17,146.3
1,0.496,0.199,0.298,0.007,2.8671,14.222,101.246,155,3,4.6,91.22,96.13,40,1.33,20,640,0.433,206,155,190.17,170.25
1.198,0.129,0.129,0.535,0.01,2.854,14.243,100.471,40,2,4.8,24.31,84.82,12,1.31,8,738,-0.4,145,150,231.69,220.59
1.196,0.127,0.127,0.529,0.02,2.859,14.28,101.085,40,2,4.8,24.31,84.31,12,1.31,8,738,-0.4,145,150,277.28,259.56
1.197,0.126,0.126,0.524,0.03,2.853,14.234,100.337,40,2,4.8,24.31,83.92,12,1.31,8,738,-0.4,145,150,246.39,208.09
1.192,0.125,0.125,0.518,0.04,2.852,14.24,100.309,40,2,4.8,24.31,83.43,12,1.31,8,738,-0.4,145,150,205.22,182.35
1.14,0.13,0.13,0.54,0.06,2.8501,14.1953,99.861,125,2,4.8,132.91,84.87,55,0.79,22,376,0.471,298,260,232,197.01
1.128,0.2,0.2,0.467,0.005,2.8503,14.141,99.493,25,2,4.8,24.31,89.01,12,1.31,8,738,-0.4,145,150,313.92,243.81
1.123,0.2,0.2,0.467,0.01,2.8513,14.1607,99.701,25,2,4.8,24.31,88.97,12,1.31,8,738,-0.4,145,150,301.55,259.28
1.118,0.2,0.2,0.467,0.015,2.8514,14.1918,99.927,25,2,4.8,24.31,88.94,12,1.31,8,738,-0.4,145,150,305.67,246.91
1.113,0.2,0.2,0.467,0.02,2.8515,14.1959,99.963,25,2,4.8,24.31,88.91,12,1.31,8,738,-0.4,145,150,287.11,248.97
1,0.596,0.199,0.199,0.007,2.8688,14.2318,101.436,200,3,4.6,95.94,96.58,42,2.16,20,684,0.747,190,145,199.09,161.6
1,0.333,0.345,0.333,0.02,2.86,14.237,100.851,10,2.5,4.3,26.98,97.11,13,1.61,8,578,0.432,118,125,155.33,148
1,0.333,0.293,0.333,0.04,2.861,14.242,100.957,10,2.5,4.3,26.98,94.05,13,1.61,8,578,0.432,118,125,159.72,131.94
1,0.333,0.294,0.329,0.06,2.861,14.247,100.993,10,2.5,4.3,26.98,93.89,13,1.61,8,578,0.432,118,125,162.18,144.4
1,0.333,0.261,0.32,0.08,2.861,14.25,101.014,10,2.5,4.3,26.98,91.45,13,1.61,8,578,0.432,118,125,144.3,116.64
1,0.333,0.234,0.317,0.09,2.859,14.253,100.894,10,2.5,4.3,26.98,89.69,13,1.61,8,578,0.432,118,125,135.47,122.13
1,0.333,0.213,0.333,0.12,2.862,14.269,101.219,10,2.5,4.3,26.98,89.35,13,1.61,8,578,0.432,118,125,125.68,112.16
1,0.333,0.193,0.333,0.14,2.86,14.256,100.986,10,2.5,4.3,26.98,88.15,13,1.61,8,578,0.432,118,125,141.59,122.89
1,0.5,0.2,0.29,0.01,2.8666,14.1608,100.777,32,2.8,4.5,91.22,96.01,40,1.33,20,640,0.433,206,155,193,174
1,0.5,0.2,0.28,0.02,2.8683,14.1681,100.95,32,2.8,4.5,91.22,95.46,40,1.33,20,640,0.433,206,155,189,170
1,0.5,0.2,0.27,0.03,2.8722,14.1859,101.346,32,2.8,4.5,91.22,94.91,40,1.33,20,640,0.433,206,155,183,160
1,0.5,0.2,0.26,0.04,2.8725,14.2233,101.637,32,2.8,4.5,91.22,94.36,40,1.33,20,640,0.433,206,155,179,151
1,0.5,0.2,0.25,0.05,2.873,14.2319,101.731,32,2.8,4.5,91.22,93.81,40,1.33,20,640,0.433,206,155,177,144
1,0.8,0.1,0.09,0.01,2.8714,14.204,101.421,170,2.7,4.3,26.98,96.73,13,1.61,8,578,0.432,118,125,149.43,142.95
1,0.8,0.1,0.09,0.01,2.8695,14.199,101.251,170,2.7,4.3,26.98,96.73,13,1.61,8,578,0.432,118,125,162.37,151.78
1,0.498,0.199,0.299,0.005,2.8689,14.2459,101.545,275,2.8,4.25,151.97,96.32,63,1.2,21,547,0.116,231,185,144.49,140.14
1,0.495,0.198,0.297,0.01,2.8692,14.2461,101.566,275,2.8,4.25,151.97,95.98,63,1.2,21,547,0.116,231,185,132.77,127.47
1,0.49,0.196,0.294,0.02,2.8707,14.2477,101.684,275,2.8,4.25,151.97,95.4,63,1.2,21,547,0.116,231,185,129.95,123.29
1,0.498,0.199,0.299,0.004,2.8668,14.2329,101.302,40,2.8,4.6,144.24,96.32,60,1.14,16,533,0.097,206,185,196.41,181.79
1,0.496,0.198,0.298,0.008,2.8678,14.2408,101.429,40,2.8,4.6,144.24,96.09,60,1.14,16,533,0.097,206,185,202.5,185
1,0.494,0.198,0.296,0.012,2.8681,14.2435,101.47,40,2.8,4.6,144.24,95.86,60,1.14,16,533,0.097,206,185,193.12,174.67
1.2,0.539,0.129,0.129,0.002,2.8489,14.2092,99.875,250,2,4.6,95.94,86.7,42,2.16,20,684,0.747,190,145,210.51,199.16
1.2,0.538,0.128,0.128,0.005,2.8528,14.2357,100.335,250,2,4.6,95.94,86.53,42,2.16,20,684,0.747,190,145,203.27,194.56
1.2,0.538,0.128,0.128,0.007,2.8527,14.2375,100.341,250,2,4.6,95.94,86.43,42,2.16,20,684,0.747,190,145,221.04,216.92
1.2,0.535,0.125,0.125,0.015,2.8513,14.2189,100.111,250,2,4.6,95.94,85.96,42,2.16,20,684,0.747,190,145,196.03,180.08
1.2,0.53,0.13,0.13,0.01,2.8477,14.193,99.677,55,2,4.8,50.94,86.24,23,1.63,9,651,0.527,171,135,191.45,167.98
1.2,0.52,0.13,0.13,0.02,2.8525,14.2226,100.222,55,2,4.8,50.94,85.65,23,1.63,9,651,0.527,171,135,188.66,182.58
1.2,0.51,0.13,0.13,0.03,2.849,14.2199,99.957,55,2,4.8,50.94,85.06,23,1.63,9,651,0.527,171,135,186.78,186.26
1.2,0.5,0.13,0.13,0.04,2.851,14.2,99.957,55,2,4.8,50.94,84.48,23,1.63,9,651,0.527,171,135,181.25,173.37
1.255,0.265,0.114,0.384,0.014,2.8619,14.256,101.12,138,2,4.6,52,84.08,24,1.66,9,653,0.675,166,140,198.89,193.6
1.2,0.195,0.075,0.515,0.015,2.8572,14.2519,100.759,250,2,4.8,50.94,84.49,23,1.63,9,651,0.527,171,135,169.01,152.2
1.2,0.19,0.071,0.51,0.03,2.8601,14.2455,100.918,250,2,4.8,50.94,83.68,23,1.63,9,651,0.527,171,135,164.7,143.3
1.2,0.18,0.06,0.5,0.06,2.8513,14.2258,100.162,250,2,4.8,50.94,81.9,23,1.63,9,651,0.527,171,135,150.2,149.5
1,0.792,0.099,0.099,0.01,2.8729,14.2112,101.579,200,2.8,4.5,47.88,96.7,22,1.54,9,659,0.075,176,140,187.68,171.23
1,0.784,0.098,0.098,0.02,2.8733,14.2147,101.632,200,2.8,4.5,47.88,96.11,22,1.54,9,659,0.075,176,140,182.76,173.48
1,0.776,0.097,0.097,0.03,2.8741,14.2226,101.745,200,2.8,4.5,47.88,95.53,22,1.54,9,659,0.075,176,140,170.21,160.79
1,0.76,0.095,0.095,0.05,2.8773,14.2423,102.113,200,2.8,4.5,47.88,94.36,22,1.54,9,659,0.075,176,140,158.99,151.66
1,0.792,0.099,0.099,0.01,2.8793,14.2436,102.264,200,2.8,4.6,92.91,96.7,41,1.6,24,652,0.917,198,145,191.88,182.09
1,0.333,0.333,0.33,0.003,2.8599,14.2322,100.81,32,2.5,4.5,91.22,96.28,40,1.33,20,640,0.433,206,155,173.4,167.28
1,0.333,0.333,0.323,0.01,2.8611,14.2335,100.902,32,2.5,4.5,91.22,95.91,40,1.33,20,640,0.433,206,155,166.3,149.88
1,0.333,0.333,0.317,0.017,2.8611,14.2349,100.911,32,2.5,4.5,91.22,95.55,40,1.33,20,640,0.433,206,155,144.9,133.58
1.25,0.121,0.118,0.553,0.01,2.866,14.293,101.673,50,2,4.8,101.07,85.11,44,2.2,16,710,1.046,178,130,258,214.96
1.01,0.599,0.189,0.201,0.01,2.8661,14.2119,101.102,160,2.8,4.3,24.31,96.35,12,1.31,8,738,-0.4,145,150,179.42,150.11
1,0.601,0.172,0.202,0.029,2.8659,14.2146,101.108,160,2.8,4.3,24.31,95.45,12,1.31,8,738,-0.4,145,150,175.99,151.52
1.01,0.601,0.151,0.199,0.051,2.8675,14.2215,101.27,160,2.8,4.3,24.31,94.12,12,1.31,8,738,-0.4,145,150,174.76,145.21
1,0.333,0.333,0.323,0.01,2.8616,14.235,100.95,200,3,4.6,92.91,95.91,41,1.6,24,652,0.917,198,145,176.26,160.4
1,0.333,0.333,0.313,0.02,2.8623,14.237,101.013,200,3,4.6,92.91,95.36,41,1.6,24,652,0.917,198,145,177.87,167.2
1,0.333,0.333,0.303,0.03,2.8629,14.24,101.077,200,3,4.6,92.91,94.81,41,1.6,24,652,0.917,198,145,176.36,155.9
1,0.6,0.2,0.1,0.1,2.8659,14.1786,100.852,100,2.5,4.9,26.98,91.44,13,1.61,8,578,0.432,118,125,204.27,158.55
0.99,0.6,0.2,0.2,0.01,2.8648,14.2115,101.009,160,2.8,4.3,22.99,96.86,11,0.93,7,496,0.547,190,180,161.8,157.93
0.97,0.6,0.2,0.2,0.03,2.8674,14.2146,101.214,160,2.8,4.3,22.99,96.72,11,0.93,7,496,0.547,190,180,163.33,156.22
1,0.6,0.19,0.2,0.01,2.8729,14.2305,101.716,150,2.5,4.3,118.71,96.34,50,1.96,28,709,1.112,145,145,136.25,134.58
1,0.6,0.18,0.2,0.02,2.8766,14.2425,102.063,150,2.5,4.3,118.71,95.75,50,1.96,28,709,1.112,145,145,139.58,137.92
1,0.6,0.17,0.2,0.03,2.8824,14.2598,102.599,150,2.5,4.3,118.71,95.16,50,1.96,28,709,1.112,145,145,132.5,128.75
1,0.6,0.16,0.2,0.04,2.8895,14.2755,103.219,150,2.5,4.3,118.71,94.57,50,1.96,28,709,1.112,145,145,120.83,116.67
